Target,Final Sentence,BLEU,ROUGE,METEOR,BERTScore
The player stood in the field looking at the batter.,"While standing in the middle of his field, the farmer intently looks towards the north.",0.04329398793439738,0.48,0.3017241379310345,0.89838707447052
"The coach stands along the field, looking at the goalkeeper.","While standing atop a hill, overlooking the vast expanse of green wheat field, the farmer carefully scrutinizes his land, peering through binoculars for any signs of damage or growth abnormalities.",0.022989113556055568,0.2,0.2112676056338028,0.8779205679893494
"I stood and looked across the field, peacefully.","The player stands still, gazing intently at the goal post in the middle of the football field before taking a penalty kick.",0.015838650460592955,0.13333333333333333,0.17543859649122806,0.8892224431037903
"Someone stands, looking around the empty field.","The farmer stood in the middle of the field, intently looking over the sprawling, green meadow, and suddenly noticed movement at the far end, realizing he needed to stand for a better view.",0.011415396597312463,0.2,0.25210084033613445,0.8965348601341248
The silly kid loves to dance in her room.,"A kid revels in the joy of dancing passionately in her room, lost in the rhythm of her favorite tunes.",0.06477685362622818,0.41379310344827586,0.3571428571428572,0.9320694804191589
the dance kid  room is full of kids,"In the room, the kid joyfully danced around, making the space come alive.",0.020682415030268957,0.380952380952381,0.22727272727272727,0.8730981945991516
A kid is dancing in the room.,"In her room, the kid performs an energetic dance routine.",0.028347903757100078,0.588235294117647,0.35714285714285715,0.9256338477134705
A group of kids are dancing around a living room.,"A kid joyfully dances in the middle of an empty room, twirling around and losing herself in the music's rhythm.",0.01735200065903686,0.3870967741935483,0.2868852459016394,0.9095553159713745
A pet cat likes to sleep on a couch.,The pet cat comfortably relaxes on the couch.,0.08458226992097476,0.47058823529411764,0.4505050505050505,0.9526019096374512
My pet cat love to sleep on the couch.,"When I relax on the couch, my curious cat pet often joins me for some affectionate company.",0.07850497842635876,0.46153846153846156,0.5251825500842537,0.9107954502105713
The woman pet the cat that was sat on the couch.,"'While relaxing on the couch, I take pleasure in petting my purring cat.'",0.08925873049179646,0.41666666666666663,0.41218637992831536,0.8915563821792603
actor petting long haired gray cat on couch,"'The cat curls up on the couch, making it her cozy retreat.'",0.02183556213332633,0.3,0.1724137931034483,0.870008111000061
The mouse climbed the side of the building.,A person climbs the side of the building.,0.5873949094699213,0.75,0.7766439909297052,0.9677758812904358
I climbed the side of the building.,"Amidst the hustle and bustle of the busy city, I watched in awe as the skilled climber scaled the side of the towering building, reaching new heights with each determined step.",0.07837655860096929,0.3157894736842105,0.5987678090103966,0.8906044960021973
A girl climbs up the side of a building.,"A person scales the side of the building in a daring climb, navigating each crevice and ledge with precision.",0.0738062184976524,0.5,0.47930743243243246,0.920732319355011
ivy climbs the side of a building .,A person climbs the side of the building to reach a window and rescue someone in need.,0.15464260451973763,0.5,0.5328798185941044,0.9141801595687866
The woman thats talking teaches her students how to climb the wall.,"As I climb higher on this wall, I continue to talk with you, updating you on my progress.",0.017703659019514106,0.26666666666666666,0.18115942028985507,0.8769993782043457
The person climbed up the wall to talk to the man.,"Character A, with sweating palms, shouts instructions to Character B as they attempt to climb the towering wall together.",0.01800704038900026,0.3333333333333333,0.23076923076923078,0.8796594142913818
The man talked about how to climb walls.,"While climbing the wall, she eagerly continued the conversation on her phone.",0.01758542189440898,0.3,0.21052631578947367,0.8978928923606873
A man is talking in front of a climbing wall.,"While trying to climb the towering wall, John kept yelling instructions to Sarah about which handholds and footholds to use.",0.014320472133097948,0.13333333333333333,0.12396694214876032,0.8705388307571411
The car drove through the snow.,"Despite the heavy snow falling, John carefully drove his car along the icy roads to get to the airport on time for his flight.",0.01566678404488472,0.33333333333333337,0.3370786516853933,0.9004526138305664
The woman couldn't drive her car in the snow.,"During winter, I have to drive my car carefully through the snow to reach my destination.",0.041065648702306674,0.3076923076923077,0.31794871794871804,0.9144830107688904
The car drove threw the snow.,"During a snowstorm, John drives his car carefully to reach the destination.",0.023143716762037445,0.2222222222222222,0.19480519480519481,0.9023343324661255
driving a car in snow,"He skillfully maneuvered the car through the snowdrifts, focusing intently on the road as he drove.",0.014238348381961592,0.09523809523809523,0.2380952380952381,0.8658781051635742
The boy wants to wear earpods as he talks on his phone.,"While on a call with the boss, I had to readjust my blazer sleeve that kept sliding up my arm.",0.015848207591271795,0.18749999999999997,0.17985611510791366,0.856975793838501
I continued to talk on phone while wearing my shoes.,She talked on her phone while wearing a new dress at the party.,0.10237664105496519,0.4347826086956522,0.4977876106194691,0.9227667450904846
A man wearing glasses talking on a phone,"While talking on the phone, I arrange to meet with a colleague tomorrow and wear a formal suit for the occasion.",0.031014197565680503,0.4137931034482759,0.44883040935672514,0.8515927791595459
The team practiced hockey at the outdoor rink.,The hockey team skillfully maneuvers the puck across the ice rink during their intense match.,0.024595675109435063,0.43478260869565216,0.30927835051546393,0.9130262136459351
The team plays hockey on the rink.,The hockey team sharpenes their skills on the rink during practice.,0.13081435925695184,0.6666666666666665,0.6814868804664723,0.9327431917190552
The hockey team practiced in the ice rink.,The hockey team fiercely battles it out on the rink to secure the win.,0.09979838560926617,0.45454545454545453,0.44415509259259256,0.9291921854019165
Two teams are playing hockey in a hockey rink.,The hockey team is practicing on the rink.,0.06259788353343847,0.35294117647058826,0.3188131313131313,0.9359994530677795
the ocean is where surfers go to surf,"The surfer paddles furiously in the vast ocean, catches a wave, and skillfully rides it, his board slicing through the water.",0.01287323590076852,0.20689655172413796,0.15463917525773196,0.8639808893203735
The boy went to the ocean to surf and after awhile became a full blown surfer.,"A skilled surfer rides the powerful waves of the ocean, carving turns and feeling the rush of surf.",0.039008168236700266,0.411764705882353,0.2312138728323699,0.8890023231506348
A surfer surfing in the ocean.,The skilled surfer rides the wave towards the shore in the vast ocean.,0.06170290107295076,0.42105263157894735,0.5792207792207792,0.9286301136016846
A boy jumps up a flight of stairs taking two at a time.,"The child jumps from stair to stair, flying up the flight.",0.024519691881314084,0.33333333333333337,0.17985611510791366,0.9171753525733948
The boys jump down the flight of stairs.,He jumped on the last stair of the flight to reach the top.,0.049070511103326775,0.5714285714285714,0.3684210526315789,0.9158862829208374
A lady had to jump up the stairs so she wouldnt miss her flight.,He jumps from the second flight of stairs.,0.01868414529851668,0.36363636363636365,0.1736111111111111,0.8912479877471924
A dog jumps down a flight of stairs.,"In the musty basement of the old mansion, I prepared to jump off the rickety stairs, taking a flying leap over a chasm, trusting the ancient floor to hold until I landed.",0.011294940008761084,0.25,0.2991452991452992,0.8612545132637024
The school band played their instruments in unison rendering a sweet music.,"A rock band creates an enthralling experience for the audience by performing unique melodies that incorporate classical nuances on the pianoforte and saxophone, rhythmic beats with drums and cymbals, and improvisational jazz elements.",0.009497874563872959,0.13333333333333333,0.13071895424836605,0.8579279184341431
Bands use instruments to make music.,"The band produced an enchanting sound as they skillfully played the violins, integral to their unique music.",0.03438549981236169,0.2608695652173913,0.38490853658536583,0.8812428116798401
The band brought their instruments so they could play music.,"The local band, renowned for its one-of-a-kind sound, masterfully blends diverse musical instruments into their captivating performances, providing an unforgettable fusion of music and sound.",0.014971074960642929,0.2631578947368421,0.23437499999999997,0.8806610703468323
