Target,Final Sentence,BLEU,ROUGE,METEOR,BERTScore
The player stood in the field looking at the batter.,"Standing in the vast field, I look intently for the lost sheep that wandered off from the flock.",0.03727007317885059,0.42857142857142855,0.29411764705882354,0.8778106570243835
"The coach stands along the field, looking at the goalkeeper.","While standing in the vast field, I carefully look around for any signs of wildflowers amidst the tall grasses.",0.035639019120366655,0.3448275862068966,0.3717766176237937,0.8792194128036499
"I stood and looked across the field, peacefully.","Fin Stand scans the vast field with a determined look, searching for the perfect spot to set up his camp.",0.01703000735087828,0.21428571428571425,0.22321428571428573,0.8877211213111877
"Someone stands, looking around the empty field.","While standing at the edge of the field, you carefully look for any signs of an approaching storm.",0.01843926024949715,0.32,0.297029702970297,0.9003465175628662
The silly kid loves to dance in her room.,"While the kid twirls in the middle of his room, the music from the radio fills the space, motivating him to boogie down.",0.01566678404488472,0.3125,0.25862068965517243,0.9006065130233765
the dance kid  room is full of kids,"While in his room, the excited kid performs an impromptu dance, shaking pompoms in rhythm to a radios DJ's catchy tune.",0.015308943726302393,0.26666666666666666,0.20618556701030927,0.8546229004859924
A kid is dancing in the room.,"Every Saturday afternoon, the kid turns on the music and dances energetically in his room.",0.04329398793439738,0.4545454545454545,0.47908863920099864,0.9168166518211365
A group of kids are dancing around a living room.,"A kid animatedly dances in the dark-lit room, illuminated by the twinkling stars shown through his bedroom window.",0.01715966518643024,0.27586206896551724,0.21008403361344538,0.8931902050971985
A pet cat likes to sleep on a couch.,"After a long day, my cat purrs contentedly on the couch, making it my favorite pet companion.",0.020406395930767336,0.3846153846153846,0.2727272727272727,0.9008204936981201
My pet cat love to sleep on the couch.,"As she stroked the soft fur of her cat sitting comfortably on the living room couch, she couldn't help but smile at her beloved pet.",0.028693752607739133,0.28571428571428575,0.3613465160075329,0.8868376612663269
The woman pet the cat that was sat on the couch.,My cat often curls up for a nap on the comfortable couch next to me.,0.04579911341208652,0.30769230769230765,0.30000000000000004,0.9016547799110413
The mouse climbed the side of the building.,"After reaching the top of the building, I carefully climbed down the side to avoid being seen by the guards below.",0.07460730850126862,0.48275862068965514,0.5115685096153847,0.9105187058448792
I climbed the side of the building.,"As I reached the peak, I marveled at the intricate details of the old, stone building that lay before me, visible only from the side.",0.03435119588138342,0.375,0.3465346534653465,0.8905341029167175
A girl climbs up the side of a building.,She climbed up the side of the old building to reach the rooftop terrace.,0.18207052811092134,0.5217391304347826,0.5451895043731778,0.9281103610992432
ivy climbs the side of a building .,She climbed up the side of the building to reach the summit and watch the sunrise.,0.08392140960218324,0.43478260869565216,0.47908863920099864,0.9139721393585205
The woman thats talking teaches her students how to climb the wall.,"While trying to reach the top of the wall, she stopped to talk with her friend who was also trying to climb it.",0.03782809598702578,0.4,0.4445422535211268,0.8919466733932495
The person climbed up the wall to talk to the man.,"After successfully climbing the wall, we took a break to talk about our next move.",0.05148551848842733,0.3846153846153846,0.24,0.893743097782135
The man talked about how to climb walls.,"After reaching the top of the wall, I talked to my friend who was still climbing.",0.018738720292863827,0.4166666666666667,0.30303030303030304,0.8968703150749207
A man is talking in front of a climbing wall.,"While talking to his friend, John successfully climbed the high wall.",0.048970314286134506,0.28571428571428564,0.2818080357142857,0.8980861306190491
The car drove through the snow.,"During a heavy snowstorm, I must carefully drive my car to reach my destination without sliding off the road.",0.016475111107446542,0.16,0.17857142857142858,0.8943108320236206
The woman couldn't drive her car in the snow.,"Braving the snowy roads, I grabbed my coat and drove carefully to reach my destination.",0.017762226812384152,0.08,0.12931034482758622,0.8780035972595215
The car drove threw the snow.,"During a heavy snowfall, I carefully drive my car on the quiet roads to reach my destination.",0.017910634987255415,0.1739130434782609,0.18292682926829268,0.8931787014007568
driving a car in snow,"During a heavy snowfall, I carefully drive my car up the hill to reach the safety of my destination.",0.014886943406383508,0.25,0.22727272727272727,0.8777462244033813
The boy wants to wear earpods as he talks on his phone.,"While talking on my phone, I noticed a hole in my shirt and reached for a safety pin to mend it without interrupting the conversation.",0.014358024528444816,0.2702702702702703,0.2961033950617284,0.8755971193313599
I continued to talk on phone while wearing my shoes.,"While talking on the phone, make sure to wear headphones to avoid disturbing others with loud sound.",0.01924622981717139,0.4444444444444445,0.4064337599446558,0.8912400603294373
A man wearing glasses talking on a phone,"Excitedly, she talked on the phone while wearing her headphones, not missing a beat.",0.02112296650357935,0.45454545454545453,0.41797752808988764,0.8749649524688721
The team practiced hockey at the outdoor rink.,"Despite the intense competition on the rink, the team's determination never wavered, driving them toward victory.",0.01843926024949715,0.31999999999999995,0.24752475247524752,0.886294960975647
The team plays hockey on the rink.,Our hockey team practices tirelessly on the rink to perfect their techniques for upcoming games.,0.09342132383024378,0.4545454545454545,0.5808080808080809,0.9187830686569214
The hockey team practiced in the ice rink.,Our hockey team practices diligently on the rink to improve their skills as a coordinated unit.,0.04329398793439738,0.4166666666666667,0.5215419501133786,0.9333104491233826
Two teams are playing hockey in a hockey rink.,Our hockey team dominates the competition on their home rink.,0.057445580856132834,0.3157894736842105,0.31250000000000006,0.8951820135116577
the ocean is where surfers go to surf,A skilled surfer rides the towering wave towards the shore as the ocean's water stretches out beneath him.,0.029639798258145823,0.22222222222222218,0.2777777777777778,0.8687830567359924
The boy went to the ocean to surf and after awhile became a full blown surfer.,"As the surfer rode the crest of a wave in the ocean, the roaring surf amplified his sense of freedom and exhilaration.",0.03431250083045762,0.3684210526315789,0.22598870056497175,0.8835316300392151
A surfer surfing in the ocean.,"Amidst the endless expanse of the ocean, the surfer skillfully rides the waves, immersed in the thrill of surfing.",0.042509295200745076,0.39999999999999997,0.5016339869281046,0.8968478441238403
A boy jumps up a flight of stairs taking two at a time.,"After taking a running start, she jumped up the flight of stairs with agility and grace.",0.08615634529232835,0.4827586206896552,0.4877387152777778,0.8968249559402466
The boys jump down the flight of stairs.,"After spotting a pigeon on a nearby stair, she took a sudden jump and spread her wings, attempting a flight.",0.015271699436865032,0.21428571428571425,0.19230769230769232,0.8774294257164001
A lady had to jump up the stairs so she wouldnt miss her flight.,"Taking a leap of faith, she jumped from the top of the stairs during her flight to escape danger.",0.046101520617043576,0.48484848484848486,0.44119974675530227,0.8913854360580444
A dog jumps down a flight of stairs.,"During the flight, the adventurous acrobat made a daring jump off the plane's stair.",0.019657135266881825,0.3478260869565218,0.3795918367346939,0.8801722526550293
The school band played their instruments in unison rendering a sweet music.,"The band played an energizing melody using a mix of electric guitars, drums, and the saxophonist's smooth solo.",0.03415317583358608,0.2580645161290323,0.2676258992805755,0.8898154497146606
Bands use instruments to make music.,"The saxophonist in the band skillfully executed intricate solos on his instrument, infusing the crowd with an infectious energy through their love of music.",0.02332216510868361,0.2,0.3546348314606742,0.8700585961341858
The band brought their instruments so they could play music.,"The band, with their unique blend of sound from various instruments ranging from the drums to the saxophone, continues to create exciting and innovative music.",0.034122814757251256,0.28571428571428575,0.3357392825896763,0.8850793838500977
A band playing some music with their instruments.,The band's unique blend of melodic vocals and instrumental harmonies creates an immersive music experience.,0.019657135266881825,0.25,0.20408163265306123,0.882655680179596
The students sit in a circle as the teacher talks.,Let's all sit in a circle and take turns talking about our day.,0.17395797375642233,0.41666666666666663,0.4934210526315789,0.8943036794662476
We sat in a circle and talked.,Let's all sit in a circle and take turns talking about our experiences.,0.17395797375642233,0.4761904761904762,0.646551724137931,0.9247830510139465
We sat in a circle and talked.,Let's all sit in a circle and take turns talking about our day.,0.17395797375642233,0.4761904761904762,0.646551724137931,0.9218515753746033
